"Connection
Origin",,"Connection
Termination",,"Data
Type",Binned Strength
left,AOB,right,AOA,antero,0
left,AOB,left,TTv,antero,0
left,AOB,right,TTv,antero,0
left,AOB,left,TTd,antero,0
left,AOB,right,TTd,antero,0
left,AOB,left,PIR,antero,2
left,AOB,right,PIR,antero,0
left,AOB,left,COAa,antero,0
left,AOB,right,COAa,antero,0
left,AOB,left,COApm,antero,6
left,AOB,right,COApm,antero,0
left,AOB,left,COApl,antero,1
left,AOB,right,COApl,antero,0
left,AOB,left,NLOT,antero,4
left,AOB,right,NLOT,antero,0
left,AOB,left,PAA,antero,0
left,AOB,right,PAA,antero,0
left,AOB,left,TR,retro,0
left,AOB,right,TR,retro,0
left,AOB,left,IG,antero,0
left,AOB,right,IG,antero,0
left,AOB,left,FC,antero,0
left,AOB,right,FC,antero,0
left,AOB,left,DG,antero,0
left,AOB,right,DG,antero,0
left,AOB,left,CA3,antero,0
left,AOB,right,CA3,antero,0
left,AOB,left,CA2,antero,0
left,AOB,right,CA2,antero,0
left,AOB,left,CA1v,antero,0
left,AOB,right,CA1v,antero,0
left,AOB,left,CA1d,antero,0
left,AOB,right,CA1d,antero,0
left,AOB,left,SUBv,antero,0
left,AOB,right,SUBv,antero,0
left,AOB,left,SUBd,antero,0
left,AOB,right,SUBd,antero,0
left,AOB,left,PAR,antero,0
left,AOB,right,PAR,antero,0
left,AOB,left,PRE,antero,0
left,AOB,right,PRE,antero,0
left,AOB,left,POST,antero,0
left,AOB,right,POST,antero,0
left,AOB,left,ENTm,antero,0
left,AOB,right,ENTm,antero,0
left,AOB,left,ENTl,antero,0
left,AOB,right,ENTl,antero,0
left,AOB,left,ILA,antero,0
left,AOB,right,ILA,antero,0
left,AOB,left,PL,antero,0
left,AOB,right,PL,antero,0
left,AOB,left,ACAv,antero,0
left,AOB,right,ACAv,antero,0
left,AOB,left,ACAd,antero,0
left,AOB,right,ACAd,antero,0
left,AOB,left,RSPv,antero,0
left,AOB,right,RSPv,antero,0
left,AOB,left,RSPv.a,antero,0
left,AOB,right,RSPv.a,antero,0
left,AOB,left,RSPv.b/c,antero,0
left,AOB,right,RSPv.b/c,antero,0
left,AOB,left,RSPd,antero,0
left,AOB,right,RSPd,antero,0
left,AOB,left,RSPagl,antero,0
left,AOB,right,RSPagl,antero,0
left,AOB,left,AIv,antero,0
left,AOB,right,AIv,antero,0
left,AOB,left,AId,antero,0
left,AOB,right,AId,antero,0
left,AOB,left,AIp,antero,0
left,AOB,right,AIp,antero,0
left,AOB,left,GU,antero,0
left,AOB,right,GU,antero,0
left,AOB,left,VISC,antero,0
left,AOB,right,VISC,antero,0
left,AOB,left,ORBv,antero,0
left,AOB,right,ORBv,antero,0
left,AOB,left,ORBvl,antero,0
left,AOB,right,ORBvl,antero,0
left,AOB,left,ORBm,antero,0
left,AOB,right,ORBm,antero,0
left,AOB,left,ORBl,antero,0
left,AOB,right,ORBl,antero,0
left,AOB,left,MOp,antero,0
left,AOB,right,MOp,antero,0
left,AOB,left,MOs,antero,0
left,AOB,right,MOs,antero,0
left,AOB,left,SSp,antero,0
left,AOB,right,SSp,antero,0
left,AOB,left,SSs,antero,0
left,AOB,right,SSs,antero,0
left,AOB,left,PTLp,antero,0
left,AOB,right,PTLp,antero,0
left,AOB,left,PERI,antero,0
left,AOB,right,PERI,antero,0
left,AOB,left,ECT,antero,0
left,AOB,right,ECT,antero,0
left,AOB,left,TEa,antero,0
left,AOB,right,TEa,antero,0
left,AOB,left,AUDv,antero,0
left,AOB,right,AUDv,antero,0
left,AOB,left,AUDp,antero,0
left,AOB,right,AUDp,antero,0
left,AOB,left,AUDd,antero,0
left,AOB,right,AUDd,antero,0
left,AOB,left,AUDpo,antero,0
left,AOB,right,AUDpo,antero,0
left,AOB,left,VISrl,antero,0
left,AOB,right,VISrl,antero,0
left,AOB,left,VISal,antero,0
left,AOB,right,VISal,antero,0
left,AOB,left,VISlla,antero,0
left,AOB,right,VISlla,antero,0
left,AOB,left,VISll,antero,0
left,AOB,right,VISll,antero,0
left,AOB,left,VISli,antero,0
left,AOB,right,VISli,antero,0
left,AOB,left,VISlm,antero,0
left,AOB,right,VISlm,antero,0
left,AOB,left,VISpl,antero,0
left,AOB,right,VISpl,antero,0
left,AOB,left,VISp,antero,0
left,AOB,right,VISp,antero,0
left,AOB,left,VISam,antero,0
left,AOB,right,VISam,antero,0
left,AOB,left,VISpm,antero,0
left,AOB,right,VISpm,antero,0
left,AOB,left,NLOT3,antero,0
left,AOB,right,NLOT3,antero,0
left,AOB,left,BMAa,antero,0
left,AOB,right,BMAa,antero,0
left,AOB,left,BMAp,antero,0
left,AOB,right,BMAp,antero,0
left,AOB,left,BLAa,antero,0
left,AOB,right,BLAa,antero,0
left,AOB,left,BLAp,antero,0
left,AOB,right,BLAp,antero,0
left,AOB,left,LA,antero,0
left,AOB,right,LA,antero,0
one,AOB,one,PA,retro,0
one,AOB,two,PA,retro,0
left,AOB,left,EPv,antero,0
left,AOB,right,EPv,antero,0
left,AOB,left,EPd,antero,0
left,AOB,right,EPd,antero,0
one,AOB,one,CLA,retro,0
left,AOB,right,CLA,antero,0
left,AOB,left,6b,antero,0
left,AOB,right,6b,antero,0
one,AOA,one,MOB,antero,7
one,AOA,two,MOB,antero,4
one,AOA,one,AOB,antero,2
one,AOA,two,AOB,antero,0
one,AOA,one,AOA,,0
one,AOA,two,AOA,antero,6
one,AOA,one,TTv,antero,2
one,AOA,two,TTv,antero,0
one,AOA,one,TTd,antero,2
one,AOA,two,TTd,antero,0
one,AOA,one,PIR,antero,5
one,AOA,two,PIR,antero,5
one,AOA,one,COAa,antero,0
one,AOA,two,COAa,antero,0
one,AOA,one,COApm,antero,0
one,AOA,two,COApm,antero,0
one,AOA,One,COApl,antero,0
one,AOA,two,COApl,antero,0
one,AOA,one,NLOT,antero,2
one,AOA,two,NLOT,antero,0
one,AOA,one,PAA,antero,0
one,AOA,two,PAA,antero,0
one,AOA,one,TR,antero,0
one,AOA,two,TR,antero,0
one,AOA,one,IG,antero,0
one,AOA,two,IG,antero,0
one,AOA,one,FC,antero,0
one,AOA,two,FC,antero,0
one,AOA,one,DG,antero,0
one,AOA,two,DG,antero,0
one,AOA,one,CA3,antero,0
one,AOA,two,CA3,antero,0
one,AOA,one,CA2,antero,0
one,AOA,two,CA2,antero,0
one,AOA,one,CA1v,antero,0
one,AOA,two,CA1v,antero,0
one,AOA,one,CA1d,antero,0
one,AOA,two,CA1d,antero,0
one,AOA,one,SUBv,antero,0
one,AOA,two,SUBv,antero,0
one,AOA,one,SUBd,antero,0
one,AOA,two,SUBd,antero,0
one,AOA,one,PAR,antero,0
one,AOA,two,PAR,antero,0
one,AOA,one,PRE,antero,0
one,AOA,two,PRE,antero,0
one,AOA,one,POST,antero,0
one,AOA,two,POST,antero,0
one,AOA,one,ENTm,antero,0
one,AOA,two,ENTm,antero,0
left,AOA,left,ENTl,retro,1
one,AOA,two,ENTl,antero,0
one,AOA,one,ILA,retro,4
one,AOA,two,ILA,retro,0
one,AOA,one,PL,retro,4
one,AOA,two,PL,retro,0
one,AOA,one,ACAv,antero,0
one,AOA,two,ACAv,antero,0
one,AOA,one,ACAd,retro,0
one,AOA,two,ACAd,retro,0
one,AOA,one,RSPv,antero,0
one,AOA,two,RSPv,antero,0
one,AOA,one,RSPv.a,antero,0
one,AOA,two,RSPv.a,antero,0
one,AOA,one,RSPv.b/c,antero,0
one,AOA,two,RSPv.b/c,antero,0
one,AOA,one,RSPd,antero,0
one,AOA,two,RSPd,antero,0
one,AOA,one,RSPagl,antero,0
one,AOA,two,RSPagl,antero,0
one,AOA,one,AIv,antero,4
one,AOA,two,AIv,antero,0
one,AOA,one,AId,antero,0
one,AOA,two,AId,antero,0
one,AOA,one,AIp,antero,0
one,AOA,two,AIp,antero,0
one,AOA,one,GU,antero,0
one,AOA,two,GU,antero,0
one,AOA,one,VISC,antero,0
one,AOA,two,VISC,antero,0
one,AOA,one,ORBv,retro,2
one,AOA,two,ORBv,retro,2
one,AOA,one,ORBvl,retro,3
one,AOA,two,ORBvl,retro,0
one,AOA,one,ORBm,retro,4
one,AOA,two,ORBm,retro,0
one,AOA,one,ORBl,antero,5
one,AOA,two,ORBl,retro,0
one,AOA,one,MOp,antero,0
one,AOA,two,MOp,antero,0
one,AOA,one,MOs,retro,1
one,AOA,two,MOs,retro,0
one,AOA,one,SSp,antero,0
one,AOA,two,SSp,antero,0
one,AOA,one,SSs,antero,0
one,AOA,two,SSs,antero,0
one,AOA,one,PTLp,antero,0
one,AOA,two,PTLp,antero,0
one,AOA,one,PERI,antero,0
one,AOA,two,PERI,antero,0
one,AOA,one,ECT,antero,0
one,AOA,two,ECT,antero,0
one,AOA,one,TEa,antero,0
one,AOA,two,TEa,antero,0
one,AOA,one,AUDv,antero,0
one,AOA,two,AUDv,antero,0
one,AOA,one,AUDp,antero,0
one,AOA,two,AUDp,antero,0
one,AOA,one,AUDd,antero,0
one,AOA,two,AUDd,antero,0
one,AOA,one,AUDpo,antero,0
one,AOA,two,AUDpo,antero,0
one,AOA,one,VISrl,antero,0
one,AOA,two,VISrl,antero,0
one,AOA,one,VISal,antero,0
one,AOA,two,VISal,antero,0
one,AOA,one,VISlla,antero,0
one,AOA,two,VISlla,antero,0
one,AOA,one,VISll,antero,0
one,AOA,two,VISll,antero,0
one,AOA,one,VISli,antero,0
one,AOA,two,VISli,antero,0
one,AOA,one,VISlm,antero,0
one,AOA,two,VISlm,antero,0
one,AOA,one,VISpl,antero,0
one,AOA,two,VISpl,antero,0
one,AOA,one,VISp,antero,0
one,AOA,two,VISp,retro,0
one,AOA,one,VISam,antero,0
one,AOA,two,VISam,antero,0
one,AOA,one,VISpm,antero,0
one,AOA,two,VISpm,antero,0
one,AOA,one,NLOT3,antero,0
one,AOA,two,NLOT3,antero,0
one,AOA,one,BMAa,antero,0
one,AOA,two,BMAa,antero,0
one,AOA,one,BMAp,antero,0
one,AOA,two,BMAp,antero,0
one,AOA,one,BLAa,antero,0
one,AOA,two,BLAa,antero,0
one,AOA,one,BLAp,antero,0
one,AOA,two,BLAp,antero,0
one,AOA,one,LA,antero,0
one,AOA,two,LA,antero,0
one,AOA,one,PA,retro,0
one,AOA,two,PA,retro,0
one,AOA,one,EPv,antero,0
one,AOA,two,EPv,antero,0
one,AOA,one,EPd,antero,6
one,AOA,two,EPd,antero,0
one,AOA,one,CLA,antero,0
one,AOA,two,CLA,antero,0
one,AOA,one,6b,antero,0
one,AOA,two,6b,antero,0
one,TTv,one,MOB,antero,2
one,TTv,two,MOB,antero,0
one,TTv,one,AOB,antero,0
one,TTv,two,AOB,antero,0
one,TTv,one,AOA,antero,7
one,TTv,two,AOA,antero,0
one,TTv,one,TTv,,0
one,TTv,two,TTv,antero,0
one,TTv,one,TTd,antero,5
one,TTv,two,TTd,antero,0
one,TTv,one,PIR,antero,2
one,TTv,two,PIR,antero,0
one,TTv,one,COAa,antero,0
one,TTv,two,COAa,antero,0
one,TTv,one,COApm,antero,0
one,TTv,two,COApm,antero,0
one,TTv,one,COApl,antero,0
one,TTv,two,COApl,antero,0
one,TTv,one,NLOT,antero,0
one,TTv,two,NLOT,antero,0
one,TTv,one,PAA,antero,0
one,TTv,two,PAA,antero,0
left,TTv,left,TR,retro,2
left,TTv,right,TR,retro,0
one,TTv,one,IG,antero,0
one,TTv,two,IG,antero,0
one,TTv,one,FC,antero,0
one,TTv,two,FC,antero,0
one,TTv,one,DG,antero,0
one,TTv,two,DG,antero,0
one,TTv,one,CA3,antero,0
one,TTv,two,CA3,antero,0
one,TTv,one,CA2,antero,0
one,TTv,two,CA2,antero,0
one,TTv,one,CA1v,antero,0
one,TTv,two,CA1v,antero,0
one,TTv,one,CA1d,antero,0
one,TTv,two,CA1d,antero,0
one,TTv,one,SUBv,antero,0
one,TTv,two,SUBv,antero,0
one,TTv,one,SUBd,antero,0
one,TTv,two,SUBd,antero,0
one,TTv,one,PAR,antero,0
one,TTv,two,PAR,antero,0
one,TTv,one,PRE,antero,0
one,TTv,two,PRE,antero,0
one,TTv,one,POST,antero,0
one,TTv,two,POST,antero,0
one,TTv,one,ENTm,retro,0
one,TTv,two,ENTm,antero,0
one,TTv,one,ENTl,retro,0
one,TTv,two,ENTl,retro,0
one,TTv,one,ILA,retro,4
one,TTv,two,ILA,retro,0
one,TTv,one,PL,retro,3
one,TTv,two,PL,retro,0
one,TTv,one,ACAv,antero,0
one,TTv,two,ACAv,antero,0
one,TTv,one,ACAd,retro,0
one,TTv,two,ACAd,retro,0
one,TTv,one,RSPv,antero,0
one,TTv,two,RSPv,antero,0
one,TTv,one,RSPv.a,antero,0
one,TTv,two,RSPv.a,antero,0
one,TTv,one,RSPv.b/c,antero,0
one,TTv,two,RSPv.b/c,antero,0
one,TTv,one,RSPd,antero,0
one,TTv,two,RSPd,antero,0
one,TTv,one,RSPagl,retro,0
one,TTv,two,RSPagl,retro,0
one,TTv,one,AIv,antero,0
one,TTv,two,AIv,antero,0
one,TTv,one,AId,antero,0
one,TTv,two,AId,antero,0
one,TTv,one,AIp,antero,0
one,TTv,two,AIp,antero,0
one,TTv,one,GU,antero,0
one,TTv,two,GU,antero,0
one,TTv,one,VISC,antero,0
one,TTv,two,VISC,antero,0
one,TTv,one,ORBv,retro,0
one,TTv,two,ORBv,retro,0
one,TTv,one,ORBvl,retro,0
one,TTv,two,ORBvl,retro,0
one,TTv,one,ORBm,retro,0
one,TTv,two,ORBm,antero,0
one,TTv,one,ORBl,retro,0
one,TTv,two,ORBl,antero,0
one,TTv,one,MOp,retro,0
one,TTv,two,MOp,antero,0
one,TTv,one,MOs,retro,0
one,TTv,two,MOs,antero,0
one,TTv,one,SSp,antero,0
one,TTv,two,SSp,antero,0
one,TTv,one,SSs,antero,0
one,TTv,two,SSs,antero,0
one,TTv,one,PTLp,retro,0
one,TTv,two,PTLp,antero,0
one,TTv,one,PERI,retro,0
one,TTv,two,PERI,antero,0
one,TTv,one,ECT,retro,0
one,TTv,two,ECT,antero,0
one,TTv,one,TEa,antero,0
one,TTv,two,TEa,antero,0
one,TTv,one,AUDv,antero,0
one,TTv,two,AUDv,antero,0
one,TTv,one,AUDp,Antero,0
one,TTv,two,AUDp,antero,0
one,TTv,one,AUDd,antero,0
one,TTv,two,AUDd,antero,0
one,TTv,one,AUDpo,antero,0
one,TTv,two,AUDpo,antero,0
one,TTv,one,VISrl,antero,0
one,TTv,two,VISrl,antero,0
one,TTv,one,VISal,retro,0
one,TTv,two,VISal,antero,0
one,TTv,one,VISlla,antero,0
one,TTv,two,VISlla,antero,0
one,TTv,one,VISll,antero,0
one,TTv,two,VISll,antero,0
one,TTv,one,VISli,antero,0
one,TTv,two,VISli,antero,0
one,TTv,one,VISlm,retro,0
one,TTv,two,VISlm,retro,0
one,TTv,one,VISpl,antero,0
one,TTv,two,VISpl,antero,0
one,TTv,one,VISp,retro,0
one,TTv,two,VISp,retro,0
one,TTv,one,VISam,retro,0
one,TTv,two,VISam,antero,0
one,TTv,one,VISpm,retro,0
one,TTv,two,VISpm,retro,0
one,TTv,one,NLOT3,antero,0
one,TTv,two,NLOT3,antero,0
one,TTv,one,BMAa,antero,0
one,TTv,two,BMAa,antero,0
one,TTv,one,BMAp,antero,0
one,TTv,two,BMAp,antero,0
one,TTv,one,BLAa,antero,0
one,TTv,two,BLAa,antero,0
one,TTv,one,BLAp,retro,0
one,TTv,two,BLAp,antero,0
one,TTv,one,LA,retro,0
one,TTv,two,LA,antero,0
one,TTv,one,PA,retro,0
one,TTv,two,PA,retro,0
one,TTv,one,EPv,antero,0
one,TTv,two,EPv,antero,0
one,TTv,one,EPd,antero,5
one,TTv,two,EPd,antero,0
one,TTv,one,CLA,retro,0
one,TTv,two,CLA,antero,0
one,TTv,one,6b,antero,0
one,TTv,two,6b,antero,0
one,TTd,one,MOB,retro,2
one,TTd,two,MOB,antero,0
one,TTd,one,AOB,antero,0
one,TTd,two,AOB,antero,0
one,TTd,one,AOA,antero,6
one,TTd,two,AOA,antero,0
one,TTd,one,TTv,antero,5
one,TTd,two,TTv,antero,0
one,TTd,one,TTd,,0
one,TTd,two,TTd,antero,0
one,TTd,one,PIR,antero,2
one,TTd,two,PIR,antero,0
one,TTd,one,COAa,antero,0
one,TTd,two,COAa,antero,0
one,TTd,one,COApm,antero,0
one,TTd,two,COApm,antero,0
one,TTd,one,COApl,antero,0
one,TTd,two,COApl,antero,0
one,TTd,one,NLOT,antero,4
one,TTd,two,NLOT,antero,0
one,TTd,one,PAA,antero,0
one,TTd,two,PAA,antero,0
left,TTd,left,TR,retro,1
left,TTd,right,TR,retro,0
one,TTd,one,IG,antero,0
one,TTd,two,IG,antero,0
one,TTd,one,FC,antero,0
one,TTd,two,FC,antero,0
one,TTd,one,DG,antero,0
one,TTd,two,DG,antero,0
one,TTd,one,CA3,antero,0
one,TTd,two,CA3,antero,0
one,TTd,one,CA2,antero,0
one,TTd,two,CA2,antero,0
one,TTd,one,CA1v,antero,0
one,TTd,two,CA1v,antero,0
one,TTd,one,CA1d,antero,0
one,TTd,two,CA1d,antero,0
one,TTd,one,SUBv,antero,0
one,TTd,two,SUBv,antero,0
one,TTd,one,SUBd,antero,0
one,TTd,two,SUBd,antero,0
one,TTd,one,PAR,antero,0
one,TTd,two,PAR,antero,0
one,TTd,one,PRE,antero,0
one,TTd,two,PRE,antero,0
one,TTd,one,POST,antero,0
one,TTd,two,POST,antero,0
one,TTd,one,ENTm,retro,0
one,TTd,two,ENTm,antero,0
one,TTd,one,ENTl,retro,0
left,TTd,right,ENTl,retro,0
one,TTd,one,ILA,retro,3
one,TTd,two,ILA,retro,0
one,TTd,one,PL,retro,4
one,TTd,two,PL,retro,0
one,TTd,one,ACAv,antero,0
one,TTd,two,ACAv,antero,0
one,TTd,one,ACAd,retro,3
one,TTd,two,ACAd,retro,0
one,TTd,one,RSPv,antero,0
one,TTd,two,RSPv,antero,0
one,TTd,one,RSPv.a,antero,0
one,TTd,two,RSPv.a,antero,0
one,TTd,one,RSPv.b/c,antero,0
one,TTd,two,RSPv.b/c,antero,0
one,TTd,one,RSPd,antero,0
one,TTd,two,RSPd,antero,0
one,TTd,one,RSPagl,retro,0
one,TTd,two,RSPagl,retro,0
one,TTd,one,AIv,antero,0
one,TTd,two,AIv,antero,0
one,TTd,one,AId,antero,0
one,TTd,two,AId,antero,0
one,TTd,one,AIp,antero,0
one,TTd,two,AIp,antero,0
one,TTd,one,GU,antero,0
one,TTd,two,GU,antero,0
one,TTd,one,VISC,antero,0
one,TTd,two,VISC,antero,0
one,TTd,one,ORBv,retro,0
one,TTd,two,ORBv,retro,0
one,TTd,one,ORBvl,retro,3
one,TTd,two,ORBvl,retro,0
one,TTd,one,ORBm,retro,6
one,TTd,two,ORBm,retro,0
one,TTd,one,ORBl,retro,0
one,TTd,two,ORBl,retro,0
one,TTd,one,MOp,retro,0
one,TTd,two,MOp,retro,0
one,TTd,one,MOs,retro,0
one,TTd,two,MOs,retro,0
one,TTd,one,SSp,antero,0
one,TTd,two,SSp,antero,0
one,TTd,one,SSs,antero,0
one,TTd,two,SSs,antero,0
one,TTd,one,PTLp,retro,0
one,TTd,two,PTLp,retro,0
one,TTd,one,PERI,retro,2
one,TTd,two,PERI,antero,0
one,TTd,one,ECT,retro,0
one,TTd,two,ECT,antero,0
one,TTd,one,TEa,antero,0
one,TTd,two,TEa,antero,0
one,TTd,one,AUDv,antero,0
one,TTd,two,AUDv,antero,0
one,TTd,one,AUDp,antero,0
one,TTd,two,AUDp,antero,0
one,TTd,one,AUDd,antero,0
one,TTd,two,AUDd,antero,0
one,TTd,one,AUDpo,antero,0
one,TTd,two,AUDpo,antero,0
one,TTd,one,VISrl,antero,0
one,TTd,two,VISrl,antero,0
one,TTd,one,VISal,retro,0
one,TTd,two,VISal,antero,0
one,TTd,one,VISlla,antero,0
one,TTd,two,VISlla,antero,0
one,TTd,one,VISll,antero,0
one,TTd,two,VISll,antero,0
one,TTd,one,VISli,antero,0
one,TTd,two,VISli,antero,0
one,TTd,one,VISlm,retro,0
one,TTd,two,VISlm,retro,0
one,TTd,one,VISpl,antero,0
one,TTd,two,VISpl,antero,0
one,TTd,one,VISp,retro,0
one,TTd,two,VISp,retro,0
one,TTd,one,VISam,retro,0
one,TTd,two,VISam,antero,0
one,TTd,one,VISpm,antero,0
one,TTd,two,VISpm,antero,0
one,TTd,one,NLOT3,antero,0
one,TTd,two,NLOT3,antero,0
one,TTd,one,BMAa,antero,0
one,TTd,two,BMAa,antero,0
one,TTd,one,BMAp,antero,0
one,TTd,two,BMAp,antero,0
one,TTd,one,BLAa,antero,0
one,TTd,two,BLAa,antero,0
one,TTd,one,BLAp,antero,0
one,TTd,two,BLAp,antero,0
one,TTd,one,LA,antero,0
one,TTd,two,LA,antero,0
one,TTd,one,PA,retro,0
one,TTd,two,PA,retro,0
one,TTd,one,EPv,,0
one,TTd,two,EPv,antero,0
one,TTd,one,EPd,,0
one,TTd,two,EPd,antero,0
one,TTd,one,CLA,retro,0
one,TTd,two,CLA,retro,0
one,TTd,one,6b,antero,0
one,TTd,two,6b,antero,0
one,PIR,one,MOB,antero,5
one,PIR,two,MOB,antero,0
one,PIR,one,AOB,antero,2
one,PIR,two,AOB,antero,0
one,PIR,one,AOA,antero,6
one,PIR,two,AOA,antero,0
one,PIR,one,TTv,antero,6
one,PIR,two,TTv,antero,0
one,PIR,one,TTd,antero,6
one,PIR,two,TTd,antero,0
one,PIR,one,PIR,,0
one,PIR,two,PIR,antero,0
one,PIR,one,COAa,antero,6
one,PIR,two,COAa,antero,0
one,PIR,one,COApm,antero,4
one,PIR,two,COApm,antero,0
one,PIR,one,COApl,antero,4
one,PIR,two,COApl,antero,3
one,PIR,one,NLOT,antero,4
one,PIR,two,NLOT,antero,0
one,PIR,one,PAA,antero,6
one,PIR,two,PAA,antero,4
left,PIR,left,TR,retro,6
left,PIR,right,TR,retro,2
one,PIR,one,IG,antero,3
one,PIR,two,IG,antero,0
one,PIR,one,FC,antero,0
one,PIR,two,FC,antero,0
one,PIR,one,DG,antero,0
one,PIR,two,DG,antero,0
